symbol,side,entry_price,exit_price,pnl_pct,hold_minutes,market_regime,trend,momentum,volatility,timestamp,date,time
BTCUSDT,short,69920.71666667,69688.2,0.33,1,volatile,neutral,neutral,low,2026-03-11T06:00:06.207748,2026-03-11,06:00:06
BTCUSDT,short,69830.33333333,69629.0,0.29,1,volatile,neutral,neutral,low,2026-03-11T06:09:22.333489,2026-03-11,06:09:22
BTCUSDT,short,69675.63666666,69899.0,-0.32,1,volatile,neutral,neutral,low,2026-03-11T06:15:34.528228,2026-03-11,06:15:34
BTCUSDT,short,69752.94545454,69800.0,-0.07,1,volatile,neutral,neutral,low,2026-03-11T06:21:45.107594,2026-03-11,06:21:45
BTCUSDT,short,69539.34,69594.1,-0.08,1,volatile,neutral,neutral,low,2026-03-11T06:27:55.457638,2026-03-11,06:27:55
BTCUSDT,short,69595.90333333,69566.4,0.04,1,volatile,neutral,neutral,low,2026-03-11T06:38:14.966023,2026-03-11,06:38:14
BTCUSDT,short,69488.15333333,69528.2,-0.06,1,volatile,neutral,neutral,low,2026-03-11T06:43:23.070553,2026-03-11,06:43:23
BTCUSDT,short,69595.26666667,69200.0,0.57,1,volatile,neutral,neutral,low,2026-03-11T06:52:38.605074,2026-03-11,06:52:38
BTCUSDT,short,69654.64666666,69663.4,-0.01,1,volatile,neutral,neutral,low,2026-03-11T06:57:46.898367,2026-03-11,06:57:46
BTCUSDT,short,69730.94,69762.1,-0.04,1,volatile,neutral,neutral,low,2026-03-11T07:03:57.144078,2026-03-11,07:03:57
BTCUSDT,short,69803.92333333,69704.4,0.14,1,volatile,neutral,neutral,low,2026-03-11T07:13:15.571805,2026-03-11,07:13:15
BTCUSDT,short,69775.31166667,69753.5,0.03,1,volatile,neutral,neutral,low,2026-03-11T07:26:43.024111,2026-03-11,07:26:43
BTCUSDT,short,69793.94,69720.2,0.11,1,volatile,neutral,neutral,low,2026-03-11T07:31:52.689928,2026-03-11,07:31:52
BTCUSDT,short,69916.73333333,69832.8,0.12,1,volatile,neutral,neutral,low,2026-03-11T07:42:13.761683,2026-03-11,07:42:13
BTCUSDT,short,70077.1,69866.1,0.3,1,volatile,neutral,neutral,low,2026-03-11T07:43:15.763322,2026-03-11,07:43:15
BTCUSDT,long,69628.76,69830.8,0.29,1,volatile,neutral,neutral,low,2026-03-11T07:55:34.381828,2026-03-11,07:55:34
BTCUSDT,short,69130.76666666,69903.9,-1.12,1,volatile,neutral,neutral,low,2026-03-11T08:08:54.145319,2026-03-11,08:08:54
BTCUSDT,long,69702.23888888,69843.3,0.2,1,volatile,neutral,neutral,low,2026-03-11T08:37:41.307791,2026-03-11,08:37:41
BTCUSDT,long,69707.85,70000.4,0.42,1,volatile,neutral,neutral,low,2026-03-11T08:49:07.909528,2026-03-11,08:49:07
BTCUSDT,long,69764.55454545,70040.1,0.39,0,volatile,neutral,neutral,low,2026-03-11T10:08:56.480328,2026-03-11,10:08:56
BTCUSDT,long,69777.16,68999.0,-1.12,0,volatile,neutral,neutral,low,2026-03-11T10:40:57.304874,2026-03-11,10:40:57
BTCUSDT,short,69558.665,69807.7,-0.36,0,volatile,neutral,neutral,low,2026-03-11T12:53:50.484997,2026-03-11,12:53:50
BTCUSDT,long,69243.62,69250.0,0.01,0,volatile,neutral,neutral,low,2026-03-11T17:37:00.146706,2026-03-11,17:37:00
BTCUSDT,long,69243.62,69250.0,0.01,0,volatile,neutral,neutral,low,2026-03-11T17:38:01.659386,2026-03-11,17:38:01
BTCUSDT,long,69243.62,69352.7,0.16,0,volatile,neutral,neutral,low,2026-03-11T17:39:03.151343,2026-03-11,17:39:03
BTCUSDT,long,69243.62,69420.0,0.25,0,volatile,neutral,neutral,low,2026-03-11T17:40:04.661981,2026-03-11,17:40:04
BTCUSDT,long,69243.62,69371.3,0.18,0,volatile,neutral,neutral,low,2026-03-11T17:41:06.206909,2026-03-11,17:41:06
BTCUSDT,long,69243.62,69371.3,0.18,0,volatile,neutral,neutral,low,2026-03-11T17:42:07.779621,2026-03-11,17:42:07
BTCUSDT,long,69243.62,69538.0,0.43,0,volatile,neutral,neutral,low,2026-03-11T17:43:28.142799,2026-03-11,17:43:28
BTCUSDT,long,69243.62,69523.6,0.4,0,volatile,neutral,neutral,low,2026-03-11T17:44:29.603386,2026-03-11,17:44:29
BTCUSDT,long,69243.62,69595.0,0.51,0,volatile,neutral,neutral,low,2026-03-11T17:50:24.309148,2026-03-11,17:50:24
BTCUSDT,long,69243.62,69595.0,0.51,0,volatile,neutral,neutral,low,2026-03-11T17:51:25.875907,2026-03-11,17:51:25
BTCUSDT,long,69243.62,69575.4,0.48,0,volatile,neutral,neutral,low,2026-03-11T17:52:27.822832,2026-03-11,17:52:27
BTCUSDT,long,69243.62,69575.4,0.48,0,volatile,neutral,neutral,low,2026-03-11T17:53:29.770281,2026-03-11,17:53:29
BTCUSDT,long,69243.62,69576.0,0.48,0,volatile,neutral,neutral,low,2026-03-11T17:54:31.736687,2026-03-11,17:54:31
BTCUSDT,long,69243.62,69563.7,0.46,0,volatile,neutral,neutral,low,2026-03-11T17:55:33.672693,2026-03-11,17:55:33
BTCUSDT,long,69243.62,69563.7,0.46,0,volatile,neutral,neutral,low,2026-03-11T17:56:35.258634,2026-03-11,17:56:35
BTCUSDT,long,69243.62,69563.4,0.46,0,volatile,neutral,neutral,low,2026-03-11T17:57:36.793573,2026-03-11,17:57:36
BTCUSDT,long,69243.62,69370.0,0.18,0,volatile,neutral,neutral,low,2026-03-11T18:00:47.694060,2026-03-11,18:00:47
BTCUSDT,long,69243.62,69407.8,0.24,0,volatile,neutral,neutral,low,2026-03-11T18:01:49.470346,2026-03-11,18:01:49
